lon,lat,obs
-89.6657014,40.6004653,31
-89.663654,36.125139,6
-89.6369409,45.3150927,2
-89.61418,32.92994,29
-89.6124889,33.7956097,14
-89.5982599,44.0829597,10
-89.5364836,38.6981367,21
-89.5292049,43.5621967,20
-89.528728,37.039352,36
-89.526555,37.3066269,49
-89.5158088,39.5753678,12
-89.5109799,30.6193407,84
-89.4892659,44.6134037,12
-89.4857109,32.3251307,45
-89.4568609,41.1849333,15
-89.4517437,39.5535471,29
-89.4379279,36.4175101,22
-89.4243639,40.4972564,16
-89.3902589,33.5589457,25
-89.3901378,38.8433817,26
-89.3824309,35.5377957,32
-89.3817229,42.4617907,41
-89.3754293,35.0517759,56
-89.364692,36.3065622,20
-89.334166,35.6893173,32
-89.3321502,42.1593177,41
-89.3175167,40.6045464,16
-89.2943026,38.3511978,18
-89.2701391,31.0534826,116
-89.2690071,39.4800841,3
-89.2477946,36.8252566,23
-89.2274789,43.5381577,42
-89.2120306,31.9621774,19
-89.2049844,39.3998674,8
-89.1849649,34.3507798,19
-89.13321,33.56245,24
-89.1297627,40.2639127,10
-89.1280059,43.9129677,22
-89.1251229,45.6998027,1
-89.1104419,42.5113107,86
-89.1031668,33.1294539,18
-89.1019294,32.5602847,31
-89.0850451,39.8529571,18
-89.0833869,41.4844552,12
-89.0787139,35.3612207,28
-89.0775209,37.8620527,37
-89.0756312,42.0711057,14
-89.0520699,44.2134397,18
-89.0411229,43.4580257,13
-89.0175725,41.6502254,7
-88.9513789,44.4254667,13
-88.95069,40.9275498,4
-88.9472487,37.2950124,27
-88.9437782,37.3198861,72
-88.9391789,44.9221977,7
-88.9154674,42.3994754,28
-88.9027887,35.9420253,33
-88.9008629,43.4992847,23
-88.8718234,40.7542777,15
-88.86494,34.08999,50
-88.8622638,36.9068375,22
-88.8325718,41.0834818,15
-88.8148959,35.3431047,26
-88.7992689,30.4987757,23
-88.7788779,44.6191537,6
-88.7750249,45.4638297,1
-88.7684399,30.8158367,44
-88.7460735,40.2822428,7
-88.7352209,43.4565557,22
-88.7095809,42.9178507,27
-88.704253,44.0331367,27
-88.68449,42.04939,20
-88.6754284,40.8985328,5
-88.6689458,39.9526337,7
-88.6571809,33.8691757,18
-88.6241136,33.1507326,27
-88.5977339,34.2998857,17
-88.5903464,41.311436,25
-88.5743214,41.530722,13
-88.5637682,40.7143846,1
-88.5584799,40.0787817,9
-88.5485594,35.4115013,12
-88.540244,42.458064,22
-88.5063589,37.5997248,20
-88.4804309,43.6162427,33
-88.4356718,41.5971421,3
-88.4287356,38.6772904,13
-88.3865649,39.6153298,42
-88.38516,31.2926075,45
-88.3523559,30.942277700000002,79
-88.3351209,43.6599137,26
-88.3172665,32.1307226,61
-88.314377,36.178722,12
-88.2762261,42.9592306,23
-88.2670255,39.3671938,13
-88.233672,38.248185,20
-88.2207774,31.1365731,47
-88.2081104,38.0393916,19
-88.195176,39.3149204,24
-88.1879809,41.9335847,54
-88.1852819,41.1663407,2
-88.1808759,36.6896267,58
-88.1726309,44.8797447,24
-88.1712189,33.4765537,31
-88.1671198,33.6853138,38
-88.1644941,37.4674888,47
-88.159086,46.0873471,1
-88.1229309,32.6807827,47
-88.1123348,30.248466,16
-88.103613,39.8947071,11
-88.0675579,34.2884067,24
-88.0496139,44.3429157,15
-88.0246848,39.1055838,18
-88.0179749,45.5054967,1
-88.0092154,33.2811827,20
-88.0066271,36.3584295,30
-87.9862509,42.8005177,42
-87.969378,30.688444,34
-87.9675978,40.2509834,5
-87.964599,41.468659100000004,34
-87.908702,42.0160676,37
-87.8918599,44.1095107,16
-87.8785709,43.3759057,25
-87.8743129,45.4469757,1
-87.8359539,32.2782397,58
-87.8350582,31.0706664,89
-87.8205274,33.1379607,21
-87.7777573,39.318607,30
-87.7767179,31.7097587,32
-87.7643955,32.8055085,22
-87.7621469,34.1311637,13
-87.7299991,30.3038647,51
-87.724604,40.6463646,10
-87.706176,39.4014967,25
-87.7016689,44.0520617,28
-87.6947489,37.7163597,16
-87.6852374,35.1607149,27
-87.6791989,35.4941757,12
-87.6771392,37.592793,30
-87.6692368,39.1467916,42
-87.6425339,44.5887327,13
-87.6374375,30.803493,76
-87.6361759,31.7459607,41
-87.6297459,37.9142237,25
-87.614777900000007,45.8394617,2
-87.6041417,34.868688,89
-87.6024375,30.370222,56
-87.5888357,33.8481773,18
-87.5816027,41.2187664,20
-87.5396719,40.0813067,47
-87.5381089,32.4128107,73
-87.5183917,30.2816323,32
-87.4511851,41.0474227,6
-87.4410458,37.9911389,39
-87.4241383,33.2638251,32
-87.3919892,38.0976637,37
-87.3907904,34.4236313,18
-87.3837235,34.7961251,41
-87.3792753,32.1930088,63
-87.3743359,39.3319867,38
-87.3693435,41.3911052,6
-87.3633993,40.6790779,8
-87.3561447,39.9820787,22
-87.3525878,37.1070839,41
-87.3322,37.2448,33
-87.331989,37.2446037,31
-87.3276749,35.8791357,28
-87.2158334,32.442715,26
-87.2090516,31.7399574,28
-87.2001879,41.3297597,16
-87.1967394,41.5361624,19
-87.1850279,38.5758877,41
-87.1440788,35.3492078,14
-87.1438756,39.5330205,24
-87.1287007,38.6841567,47
-87.1203132,31.3180673,33
-87.1007539,33.1156047,43
-87.0748779,40.9699502,2
-87.0654001,31.2283931,57
-87.0592352,34.0297881,67
-87.0543672,39.125475,18
-87.0361216,40.4076491,11
-87.0088713,36.664255,51
-87.0044623,33.5263185,25
-86.9969029,36.1745577,30
-86.9887629,34.9292307,64
-86.9325362,41.70464,21
-86.9307629,45.3659387,21
-86.8961593,37.8199855,45
-86.8721632,33.6822947,87
-86.8508149,41.6367797,8
-86.8259959,35.8589627,31
-86.8202889,38.4150437,32
-86.8139639,40.7078507,25
-86.7647789,38.7744667,46
-86.7118894,32.3276808,41
-86.70906,45.9415397,1
-86.7031329,39.2638847,38
-86.6959256,40.1495187,30
-86.6658089,36.5086597,29
-86.6657259,35.3350377,20
-86.6604516,34.8223669,56
-86.6314152,36.9907469,22
-86.6205339,41.2735266,18
-86.6010915,33.4549551,70
-86.5765829,39.9080857,6
-86.5697685,32.4860839,19
-86.5500939,41.8738037,15
-86.5484989,38.7671667,46
-86.4873841,39.9443431,29
-86.4734413,34.2126918,51
-86.455486,30.965694,77
-86.4502189,40.1985767,18
-86.4457647,33.718519,50
-86.4011865,39.0147985,10
-86.3813006,33.8564625,35
-86.3655159,41.6368887,7
-86.3429849,39.0791429,29
-86.3369279,36.9261037,36
-86.3312989,33.2905307,46
-86.2808379,41.0254887,12
-86.2754989,32.1312407,39
-86.2366709,43.4369027,17
-86.2186454,43.9040607,3
-86.2030371,34.8680404,52
-86.1929939,38.9190517,30
-86.1842198,40.5842651,17
-86.1676666,35.7357596,34
-86.1573541,33.3180161,43
-86.1463592,38.2672943,27
-86.1387677,37.2573275,16
-86.1283614,44.4308,7
-86.1160696,30.7184797,60
-86.1153789,33.8116977,57
-86.1117753,32.822371,37
-86.0994295,31.2223969,92
-86.0738369,42.6234117,18
-86.0671689,34.9895137,34
-86.0560979,40.2178547,20
-86.0308829,42.0832547,25
-86.0179129,37.6179677,26
-85.9410399,38.6631267,40
-85.9323092,34.3086241,37
-85.9287299,39.0836543,32
-85.9258408,33.1913463,30
-85.9158515,35.3801394,29
-85.9044039,40.8532797,31
-85.8872149,43.0602167,25
-85.8711729,32.4341515,42
-85.8594579,34.7575557,33
-85.84451,40.5079491,18
-85.8354611,41.1013504,28
-85.8088908,44.7824305,44
-85.8031169,44.1177897,3
-85.780054,30.8137132,140
-85.7760939,39.5621707,17
-85.7511714,33.6076572,27
-85.7505398,41.7653686,35
-85.7471699,38.6347156,37
-85.7466579,33.6296357,50
-85.7419899,30.9498107,150
-85.7373309,37.5839876,37
-85.7234329,42.0493317,46
-85.7169959,36.8194377,28
-85.7117159,37.8249387,30
-85.7110414,34.0278089,22
-85.7051469,36.0984567,32
-85.692643,32.580056,52
-85.6760109,41.7259077,24
-85.6700349,36.5041157,42
-85.6693511,35.1735485,27
-85.6508719,31.6676037,91
-85.5895835,31.3388298,85
-85.565583,34.5810567,22
-85.5530853,32.3116131,67
-85.5449749,40.0330447,33
-85.497565,34.6117851,53
-85.4900279,41.0188097,10
-85.4765733,41.750602,20
-85.4688349,39.6847217,8
-85.4654859,42.5738567,28
-85.450491,33.9413322,38
-85.4421615,39.4677041,27
-85.4353239,43.7069417,9
-85.424102,34.7223756,37
-85.4136135,42.2526585,42
-85.4115544,31.0322875,24
-85.4057859,43.7144577,21
-85.3637195,35.1093452,33
-85.3574289,40.1346467,45
-85.3516521,44.8226403,7
-85.3463759,34.6689717,60
-85.3003555,29.7818335,20
-85.2869789,30.3372497,81
-85.2699359,36.7007807,40
-85.2558091,31.7296264,49
-85.2426415,30.5335474,120
-85.2388079,40.4066967,6
-85.2195466,33.6511789,41
-85.215292,29.6796829,10
-85.2112631,31.0081277,106
-85.2044589,32.8854647,22
-85.2042619,38.2698117,32
-85.193661,43.1119365,59
-85.1666632,35.3018852,16
-85.1623379,38.9509067,25
-85.134166,42.5960376,26
-85.1334541,30.5288404,126
-85.1284099,37.4126457,39
-85.1256579,43.5961937,12
-85.0940693,38.7795826,28
-85.0906911,39.9464269,53
-85.0626449,32.1473077,67
-85.0490155,34.3863104,75
-85.0052085,30.3242578,53
-84.9933879,36.6171577,31
-84.9764184,39.493804,22
-84.9762879,29.9877641,12
-84.9734875,31.8866376,57
-84.9394079,41.6024567,11
-84.9237731,41.0798684,19
-84.8855164,33.6361338,77
-84.8534885,40.7030618,18
-84.8521349,39.6830387,33
-84.8339909,36.8211687,34
-84.8112865,37.470864,28
-84.7868559,34.0545254,49
-84.7793129,40.2671711,8
-84.7282157,34.566415,42
-84.7241329,30.8576446,30
-84.7198949,31.7456477,64
-84.6928996,31.9559887,67
-84.6889719,35.0073537,13
-84.6652972,39.493375,74
-84.6639032,30.387698,17
-84.6612332,37.390468,42
-84.6600329,43.0899857,12
-84.6552242,30.2634445,16
-84.5636584,32.3152912,90
-84.5235839,43.1829747,11
-84.5147859,41.6511517,8
-84.5124264,34.906261,48
-84.4948117,32.9365857,27
-84.4869421,43.72725,19
-84.4810583,33.1817632,60
-84.4592036,33.5364364,71
-84.4158115,32.8593849,24
-84.4058069,31.2906127,107
-84.3965529,35.3452907,31
-84.391869,34.346124,23
-84.3898389,41.5501237,14
-84.3613059,36.2936637,16
-84.3482669,36.0487507,29
-84.340943,29.9468226,25
-84.2932022,36.4907462,20
-84.2837106,33.382002,57
-84.2682799,32.1823297,49
